avg_T51,avg_T106,avg_T107,avg_T227,avg_T108,size,coordx,coordy,Label_id,batch_label,batch_label_color
4.170497417449951,3.249659538269043,1.8028559684753418,2.352238178253174,1.938999056816101,62.0,-62.55891036987305,45.46578598022461,44,3,#1f77b4
1.8520854711532593,1.570379614830017,3.9654440879821777,2.8104054927825928,2.547740936279297,19.0,46.65449142456055,-23.375621795654297,45,0,#ff7f0e
3.4619266986846924,2.3931515216827393,2.2504098415374756,2.2917065620422363,1.9748109579086304,14.0,-47.28839874267578,8.598383903503418,46,2,#ffbb78
2.186755657196045,2.9479458332061768,2.72481369972229,1.9775182008743286,2.913527250289917,6.0,15.25411319732666,-27.376508712768555,47,1,#2ca02c
3.265798330307007,2.6023237705230713,3.2520041465759277,2.7671797275543213,3.116295337677002,14.0,-4.533971786499023,31.676679611206055,48,0,#ff7f0e
1.7027521133422852,2.586500883102417,1.060986876487732,1.564799427986145,0.9711098074913025,19.0,-5.779791355133057,-34.060821533203125,49,1,#2ca02c
3.1562066078186035,2.3462915420532227,2.1864216327667236,2.5518527030944824,2.8446714878082275,69.0,59.75048065185547,-35.452125549316406,50,3,#1f77b4
3.487769365310669,2.8060355186462402,3.3667755126953125,3.1580753326416016,3.438199281692505,42.0,55.75577926635742,1.6621527671813965,51,4,#aec7e8
2.445096731185913,2.9180045127868652,4.763681888580322,3.2668447494506836,2.3811745643615723,39.0,15.630552291870117,42.30244064331055,52,0,#ff7f0e
2.971750259399414,2.2797701358795166,2.237504243850708,1.717233657836914,1.817800521850586,1.0,20.17201805114746,-42.38078689575195,53,2,#ffbb78
2.6281161308288574,2.4424967765808105,4.994875431060791,2.5777535438537598,3.132051706314087,20.0,42.969093322753906,-18.395462036132812,54,0,#ff7f0e
3.4856014251708984,2.746553659439087,2.7680814266204834,2.5267457962036133,2.7369384765625,23.0,65.08183288574219,40.99635696411133,55,3,#1f77b4
4.125829219818115,2.454531669616699,1.5860633850097656,3.004607677459717,2.8635528087615967,36.0,-32.84285354614258,33.90409851074219,56,3,#1f77b4
1.6966209411621094,1.5027265548706055,2.2190611362457275,1.3763498067855835,2.716369152069092,7.0,-5.40828800201416,-16.899829864501953,57,0,#ff7f0e
2.5900590419769287,2.739319324493408,4.181574821472168,2.444139242172241,3.6552298069000244,63.0,37.76554870605469,68.2801742553711,58,0,#ff7f0e
2.9482767581939697,2.9333086013793945,3.987419843673706,2.5895743370056152,4.04869270324707,12.0,32.28268814086914,74.93946075439453,59,0,#ff7f0e
4.735497951507568,4.810619831085205,2.8029561042785645,2.49462628364563,3.5765256881713867,18.0,-7.746798038482666,59.9810791015625,60,1,#2ca02c
3.1497020721435547,1.2092771530151367,2.4611809253692627,2.2777328491210938,2.2035858631134033,83.0,-8.979007720947266,9.479982376098633,61,2,#ffbb78
