,max_pair,max_score,phar1,phar2
133,88308_conf1-398496_conf4,0.4435,88308,398496
134,88308_conf4-262350_conf4,0.3594,88308,262350
135,88308_conf4-248542_conf3,0.3451,88308,248542
136,88308_conf5-350714_conf3,0.3492,88308,350714
137,88308_conf3-180054_conf4,0.5617,88308,180054
138,88308_conf5-398455_conf3,0.5096,88308,398455
139,88308_conf1-2361_conf3,0.3587,88308,2361
140,88308_conf1-514141_conf1,0.5862,88308,514141
141,88308_conf1-514142_conf2,0.6536,88308,514142
142,88308_conf4-300073_conf3,0.4375,88308,300073
143,88308_conf2-686688_conf4,0.5515,88308,686688
144,88308_conf4-1057366_conf1,0.4409,88308,1057366
145,88308_conf4-1344120_conf4,0.584,88308,1344120
146,88308_conf4-625220_conf3,0.52,88308,625220
147,88308_conf5-1749378_conf4,0.5111,88308,1749378
148,398496_conf1-262350_conf3,0.5366,398496,262350
149,398496_conf3-248542_conf1,0.4678,398496,248542
150,398496_conf2-350714_conf3,0.5951,398496,350714
151,398496_conf4-180054_conf3,0.7585,398496,180054
152,398496_conf2-398455_conf4,0.5659,398496,398455
153,398496_conf2-2361_conf1,0.4667,398496,2361
154,398496_conf5-514141_conf4,0.6412,398496,514141
155,398496_conf1-514142_conf4,0.6813,398496,514142
156,398496_conf4-300073_conf3,0.4653,398496,300073
157,398496_conf2-686688_conf1,0.6244,398496,686688
158,398496_conf2-1057366_conf2,0.5706,398496,1057366
159,398496_conf3-1344120_conf5,0.7106,398496,1344120
160,398496_conf2-625220_conf2,0.5776,398496,625220
161,398496_conf5-1749378_conf4,0.5281,398496,1749378
162,262350_conf5-248542_conf1,0.6324,262350,248542
163,262350_conf5-350714_conf1,0.682,262350,350714
164,262350_conf1-180054_conf1,0.5909,262350,180054
165,262350_conf4-398455_conf2,0.514,262350,398455
166,262350_conf5-2361_conf5,0.8744,262350,2361
167,262350_conf1-514141_conf4,0.6695,262350,514141
168,262350_conf1-514142_conf5,0.624,262350,514142
169,262350_conf1-300073_conf5,0.5265,262350,300073
170,262350_conf1-686688_conf5,0.6688,262350,686688
171,262350_conf1-1057366_conf1,0.5724,262350,1057366
172,262350_conf1-1344120_conf3,0.7356,262350,1344120
173,262350_conf5-625220_conf2,0.6123,262350,625220
174,262350_conf1-1749378_conf2,0.5052,262350,1749378
175,248542_conf4-350714_conf1,0.649,248542,350714
176,248542_conf3-180054_conf1,0.5728,248542,180054
177,248542_conf4-398455_conf5,0.5488,248542,398455
178,248542_conf1-2361_conf2,0.5946,248542,2361
179,248542_conf4-514141_conf2,0.6746,248542,514141
180,248542_conf5-514142_conf2,0.6262,248542,514142
181,248542_conf4-300073_conf2,0.4762,248542,300073
182,248542_conf1-686688_conf2,0.5888,248542,686688
183,248542_conf3-1057366_conf3,0.4929,248542,1057366
184,248542_conf2-1344120_conf5,0.5847,248542,1344120
185,248542_conf2-625220_conf1,0.5854,248542,625220
186,248542_conf4-1749378_conf5,0.5622,248542,1749378
187,350714_conf3-180054_conf5,0.5956,350714,180054
188,350714_conf1-398455_conf2,0.5767,350714,398455
189,350714_conf1-2361_conf3,0.6905,350714,2361
190,350714_conf1-514141_conf5,0.7097,350714,514141
191,350714_conf3-514142_conf4,0.6445,350714,514142
192,350714_conf1-300073_conf2,0.5209,350714,300073
193,350714_conf3-686688_conf4,0.801,350714,686688
194,350714_conf2-1057366_conf4,0.6713,350714,1057366
195,350714_conf1-1344120_conf1,0.7173,350714,1344120
196,350714_conf3-625220_conf5,0.5451,350714,625220
197,350714_conf1-1749378_conf4,0.4994,350714,1749378
198,180054_conf2-398455_conf1,0.595,180054,398455
199,180054_conf5-2361_conf5,0.4914,180054,2361
200,180054_conf4-514141_conf5,0.6559,180054,514141
201,180054_conf4-514142_conf5,0.6485,180054,514142
202,180054_conf3-300073_conf5,0.4428,180054,300073
203,180054_conf2-686688_conf5,0.5792,180054,686688
204,180054_conf4-1057366_conf1,0.5396,180054,1057366
205,180054_conf1-1344120_conf4,0.6126,180054,1344120
206,180054_conf2-625220_conf1,0.5711,180054,625220
207,180054_conf2-1749378_conf5,0.4164,180054,1749378
208,398455_conf2-2361_conf3,0.4565,398455,2361
209,398455_conf2-514141_conf3,0.6241,398455,514141
210,398455_conf1-514142_conf5,0.6946,398455,514142
211,398455_conf2-300073_conf2,0.4707,398455,300073
212,398455_conf1-686688_conf5,0.554,398455,686688
213,398455_conf1-1057366_conf1,0.5467,398455,1057366
214,398455_conf4-1344120_conf3,0.621,398455,1344120
215,398455_conf2-625220_conf2,0.5414,398455,625220
216,398455_conf5-1749378_conf5,0.4698,398455,1749378
217,2361_conf1-514141_conf4,0.7778,2361,514141
218,2361_conf4-514142_conf5,0.7136,2361,514142
219,2361_conf3-300073_conf1,0.5811,2361,300073
220,2361_conf5-686688_conf2,0.7783,2361,686688
221,2361_conf2-1057366_conf5,0.6927,2361,1057366
222,2361_conf1-1344120_conf3,0.8418,2361,1344120
223,2361_conf3-625220_conf2,0.7043,2361,625220
224,2361_conf4-1749378_conf2,0.5757,2361,1749378
225,514141_conf4-514142_conf4,0.719,514141,514142
226,514141_conf3-300073_conf1,0.3098,514141,300073
227,514141_conf1-686688_conf4,0.3782,514141,686688
228,514141_conf2-1057366_conf4,0.3938,514141,1057366
229,514141_conf1-1344120_conf3,0.3912,514141,1344120
230,514141_conf1-625220_conf2,0.3121,514141,625220
231,514141_conf2-1749378_conf4,0.3484,514141,1749378
232,514142_conf4-300073_conf2,0.2942,514142,300073
233,514142_conf4-686688_conf3,0.3853,514142,686688
234,514142_conf4-1057366_conf5,0.3567,514142,1057366
235,514142_conf5-1344120_conf4,0.3578,514142,1344120
236,514142_conf2-625220_conf1,0.3615,514142,625220
237,514142_conf4-1749378_conf4,0.2862,514142,1749378
238,300073_conf5-686688_conf5,0.4728,300073,686688
239,300073_conf1-1057366_conf2,0.7663,300073,1057366
240,300073_conf2-1344120_conf5,0.5396,300073,1344120
241,300073_conf3-625220_conf2,0.4663,300073,625220
242,300073_conf5-1749378_conf5,0.4514,300073,1749378
243,686688_conf2-1057366_conf4,0.4679,686688,1057366
244,686688_conf3-1344120_conf4,0.5492,686688,1344120
245,686688_conf1-625220_conf3,0.5065,686688,625220
246,686688_conf3-1749378_conf2,0.4433,686688,1749378
247,1057366_conf1-1344120_conf3,0.3995,1057366,1344120
248,1057366_conf5-625220_conf2,0.3407,1057366,625220
249,1057366_conf1-1749378_conf5,0.2621,1057366,1749378
250,1344120_conf3-625220_conf5,0.4119,1344120,625220
251,1344120_conf5-1749378_conf5,0.4113,1344120,1749378
252,625220_conf1-1749378_conf5,0.5109,625220,1749378
